date,AAPL,ABBV,ABNB,ABT,ACN,ADBE,AEP,AGG,AGGHYG,AM,AMD,AMGN,AMT,AMZN,AMZU,ANET,AVB,AVGO,AXP,BA,BABA,BAC,BIGGQ,BIL,BKNG,BLK,BLOK,BMY,BND,BNDX,BTC-USD,BX,BZFD,C,CAT,CCI,CEG,CL,CMG,COIN,COST,CRM,CRWD,CTM,CVNA,CVS,CVX,D,DE,DHR,DIA,DJT,DLR,DOGE,DUK,ED,EMB,EOG,EQIX,ETHA,ETHW,ETN,EU,EXC,EXR,F,FNDA,FTSE,GC=F,GDXG,GE,GIS,GLD,GME,GOOG,GOOGL,GOVT,GOVY,GS,HD,HIMX,HON,HYG,IBM,IEF,IMST,INTU,IWM,JNJ,JNK,JPM,KMB,KMI,KO,KWEB,LI,LLY,LMT,LOW,LPRO,LQD,LYFT,MBB,MCD,MCHB,MDLZ,META,MGTN,MO,MOH,MPC,MRK,MS,MSFD,MSFT,MTRX,NDX,NEE,NFG,NKE,NOC,NRGU,NVDA,O,OILD,OPY,ORCL,OXY,PANW,PBRG,PCG,PEG,PEP,PFE,PG,PGR,PLD,PLTR,PM,PSA,PSX,PXD,PYPL,QQQ,RKT,RTX,RUT,SBUX,SCHP,SCHW,SCO,SH,SHY,SLB,SO,SOFI,SOXL,SPG,SPGI,SPX,SPXS,SPY,SPYU,SQQQ,SRE,STX,TCEHY,TEM,TGT,TIP,TJX,TLT,TMO,TMUS,TSLA,TSLL,TSM,UCO,UNH,UNP,UPLD,UPS,USBC,V,VCSH,VELO,VICI,VIX,VLO,VOO,VST,VTI,VTV,VWO,VXUS,WELL,WFC,WGMI,WM,WMB,WMT,XEL,XLB,XLC,XLE,XLF,XLG,XLI,XLK,XLP,XLRE,XLRSR,XLU,XLV,XLY,XOM,XRT,XSP,XYZ,ZSL,^TNX
2021-05-10,123.6473,96.3490,146.7300,108.2756,269.9718,479.3800,73.0936,97.9740,,6.5506,75.9900,215.9294,213.6576,159.5245,,20.3875,166.0583,39.4558,149.3421,232.9300,208.4865,37.2408,62.2949,77.5345,88.8639,760.8163,39.1041,52.9228,72.6811,47.2547,55859.7969,74.7118,39.1600,63.1906,221.8404,144.7583,,74.0007,27.8368,293.4500,361.4155,210.7952,187.5800,,48.4360,72.7394,88.9753,63.6845,366.5047,224.3877,318.4814,,127.2631,,85.4375,66.3969,87.0388,66.0701,653.1768,,,135.4119,3.6300,26.6323,121.6351,8.6804,24.7980,,1837.5000,,64.9969,52.9712,172.1100,35.8050,116.1296,113.6482,23.1637,,326.9531,301.8784,8.9919,196.4533,66.2321,114.9134,99.3532,,379.6997,206.5862,147.8595,80.1585,142.0836,113.6101,13.8434,47.3096,57.2662,17.0100,185.2857,343.4912,192.1908,35.3400,108.1955,49.1600,92.8869,211.6453,37.5502,54.5481,303.5876,,34.3468,268.7400,52.8191,63.7284,73.6073,,237.1840,13.3400,13359.0801,65.7194,45.1939,126.4388,344.7972,,14.2299,50.7373,,46.0116,74.9100,24.9835,56.8900,,10.7245,53.5770,125.6344,30.8492,121.2159,94.5457,100.8292,18.4700,77.3320,223.1954,70.6218,,242.3344,316.1273,15.5248,76.0371,,101.9057,25.2760,66.3618,114.8000,53.7671,75.4959,28.3786,55.0298,16.3700,30.9784,97.1332,374.4660,,230.9366,390.3489,,1217.6964,59.3654,77.0015,67.2877,,183.3374,105.5201,67.8404,116.7230,457.2359,130.5789,209.6800,,103.3732,15.9500,386.3250,204.1288,41.8600,174.4989,78.0000,217.3613,70.3850,5239.5000,24.0019,,66.9859,357.7751,14.4953,201.5037,124.8826,44.7420,55.8474,65.6965,41.3134,,132.5195,20.1603,44.0377,61.9435,39.5911,72.9891,22.2959,34.5999,29.7475,97.7109,65.2219,62.4026,36.0878,,28.6563,114.6192,83.7537,51.6715,86.6475,,216.4300,878.4000,1.6020
2021-05-11,122.7310,95.2464,142.7300,107.7749,267.5007,485.1900,72.1336,97.7600,,6.5647,76.8300,215.6559,212.5405,161.1955,,20.4212,165.3754,39.8150,145.3422,228.8800,210.2435,36.8157,60.9450,77.5345,88.2584,748.9708,38.8922,52.5629,72.5361,47.1467,56704.5742,74.0542,39.0000,62.9720,218.8138,143.9918,,73.2016,27.8650,303.0000,358.2890,212.4410,195.1000,,47.8380,71.4854,86.6447,63.0193,358.8263,223.4175,314.0578,,125.2576,,85.3469,65.9728,86.8356,64.1869,651.3987,,,133.8870,3.5100,26.5845,119.3808,8.5840,24.6442,,1835.9000,,63.7310,52.3737,172.1400,36.7300,114.4980,112.5726,23.1373,,319.1846,292.6217,9.0577,194.9391,66.1637,113.3804,99.1880,,382.0696,205.9279,146.6524,80.0701,139.7218,111.3777,13.6310,46.8013,58.2597,17.0100,185.2762,338.8430,186.7609,35.1800,107.7992,48.8200,92.8013,208.7443,37.4378,54.4426,304.1432,,34.1774,263.0300,51.7859,63.1496,72.2879,,236.2724,12.7300,13351.2695,65.0781,44.9034,127.1062,339.7239,,14.2703,49.7231,,45.1997,72.6108,23.0133,57.2383,,10.7344,52.7050,124.7182,30.4545,120.6172,93.9556,99.6665,20.2100,76.7247,220.9084,69.0046,,247.2780,315.6907,15.0677,75.4022,,101.2370,25.2193,65.9231,112.6000,54.2076,75.4871,28.0466,54.6065,15.1700,31.1531,93.9835,364.2112,,237.1310,386.8650,,1221.7285,59.1604,74.7946,68.7251,,179.2343,105.2394,66.9296,116.0624,457.7588,132.6846,205.7333,,103.8702,16.2300,377.8897,202.4935,41.8900,173.0456,77.2000,216.8900,70.3595,5229.0000,23.5261,,65.3458,354.6371,14.7850,199.8818,123.1976,44.6227,55.2424,64.6179,40.5332,,130.6140,20.2471,43.6405,60.6123,39.7224,72.7800,21.7224,33.9859,29.5478,96.2654,65.0246,61.8591,35.6638,,28.3041,113.3829,82.8079,50.0283,85.8514,,220.6500,854.4000,1.6240
2021-05-12,119.6703,95.3044,140.2500,105.9178,259.5486,472.0900,70.9398,97.4175,,6.4521,74.6400,214.3994,207.9342,157.5970,,19.7356,162.5599,38.2145,143.3375,220.7800,208.8379,36.4703,58.0082,77.5260,85.2966,730.6926,36.8955,52.7837,72.2800,47.0139,49150.5352,71.0779,38.9600,62.4337,217.0034,141.3130,,72.8553,26.8404,283.6100,352.6235,207.4937,189.2700,,45.3080,70.6466,87.1888,61.8251,349.8650,216.8079,307.7291,,123.9684,,83.3621,64.7754,86.0461,63.5774,639.8956,,,131.9857,3.2400,25.7889,116.6657,8.3987,23.8005,,1822.6000,,62.4165,52.2493,170.4300,36.1975,111.0424,109.1107,23.0494,,314.2893,280.5331,8.1439,187.1810,65.8444,111.0848,98.7097,,386.8092,199.2410,146.0619,79.6872,138.7611,110.3570,13.7296,46.5600,57.3413,17.7800,183.8016,332.5523,177.8476,34.6600,107.2130,46.8900,92.5360,203.4601,36.8239,54.0999,300.1942,,33.4454,257.0100,52.0773,63.5898,71.2323,,229.3348,12.3200,13001.6299,62.8552,43.9120,123.6486,334.9735,,13.7239,48.6339,,42.8901,71.7323,23.5669,55.8483,,10.3204,51.3926,123.5022,30.7176,119.3405,93.6695,97.5058,18.8900,75.8651,217.1959,70.4156,,238.6342,307.5197,14.6633,73.5693,,98.2742,25.1707,64.5137,110.8000,55.4272,75.4783,28.8003,53.4115,15.0500,27.2917,90.1365,354.6376,,252.2243,378.6461,,1316.4830,57.7384,72.7687,68.1232,,173.8549,105.0578,64.8587,114.8428,448.6628,131.3770,196.6300,,99.5994,16.4850,372.0796,198.3741,40.6500,170.1148,85.6000,212.2247,70.2744,5192.2500,22.7511,,67.2635,347.0669,14.4862,195.3797,121.2109,43.4807,54.1602,62.8055,40.4623,,127.8204,19.9551,42.5116,59.8784,38.7222,71.3540,21.8263,33.6376,28.9562,93.9582,63.1958,61.0350,34.7989,,27.6425,112.3126,80.0043,50.2964,81.6023,,206.6700,897.6000,1.6950
2021-05-13,121.8147,96.6640,135.7500,106.9192,265.0575,474.1600,72.2254,97.6401,,6.4873,73.0900,215.4593,209.6873,158.0735,,19.8675,165.6452,38.9582,145.0128,222.6400,195.7132,37.0548,59.6043,77.5260,86.6717,744.4367,34.9965,53.2009,72.4251,47.0305,49716.1914,72.0138,38.7600,63.3252,219.5179,142.0400,,73.9297,26.4540,265.1000,359.5680,208.7946,183.7600,,44.7740,71.4007,86.6285,62.8189,354.0601,218.8783,311.8047,,125.5020,,85.6446,65.9229,86.4917,62.1864,649.0309,,,134.6359,3.1800,26.8047,119.2903,8.5618,24.3179,,1823.8000,,63.1467,53.0957,171.1300,41.1250,112.1775,110.5384,23.0758,,318.2002,287.9845,7.8880,191.0850,66.0801,113.3411,99.0401,,390.3206,202.9089,147.5903,79.8934,142.3304,110.9960,13.6689,46.9650,55.2457,17.2300,186.2765,338.7994,182.2133,33.8700,107.6175,46.0200,92.6814,205.0936,38.4235,54.8293,302.8831,,33.9673,265.0400,51.9095,64.1523,72.2368,,233.2018,12.6000,13109.1504,63.8129,44.6299,123.8525,341.3474,,13.6309,48.6113,,43.6136,73.0314,22.2440,53.9800,,10.4781,52.6203,125.3347,31.0349,121.2600,94.8229,98.4864,18.3700,76.9298,220.6104,69.5987,,239.5194,309.8972,14.5754,74.9105,,98.9007,25.1747,65.9081,117.6000,54.7496,75.4959,28.4952,54.5484,14.6100,28.4559,90.4201,364.2400,,242.9763,383.1945,,1287.2502,58.8145,75.1136,66.3713,,178.6946,105.0826,66.1367,115.0207,450.7741,132.8000,190.5633,,100.0965,15.4725,375.0076,201.2157,39.6700,174.1275,86.8000,215.5289,70.3340,5202.7500,23.0811,,66.0271,351.1919,14.5405,197.5329,122.9403,43.4296,54.4499,63.7250,41.1361,,130.8175,20.0340,43.2309,60.6891,39.3151,71.8674,21.5604,34.1783,29.2926,95.7187,64.0332,61.8941,35.2399,,28.1752,113.3275,80.5708,49.6765,82.9076,,197.1300,889.6000,1.6680
2021-05-14,124.2321,96.5231,141.2000,107.7021,267.7329,486.5600,72.4257,97.8627,,6.8180,74.5900,216.3803,212.0592,161.1450,,20.3988,166.8760,39.9552,147.9021,228.4700,198.9706,37.5153,61.7203,77.5260,89.6249,760.3018,37.2785,53.0700,72.5958,47.0886,49880.5352,73.7591,38.8560,64.3934,221.4930,143.1146,,74.1961,27.1242,258.3700,364.2007,214.5106,190.6400,,47.5060,71.4515,88.8941,62.5705,359.5754,219.6666,315.2942,,125.4515,,85.6945,65.6652,86.9451,64.5463,655.0095,,,136.8153,3.6900,27.2151,118.9941,8.7767,24.8726,,1837.9000,,64.5587,52.6144,172.6900,39.9800,114.8650,112.9852,23.1285,,327.0330,286.4004,8.0927,194.2288,66.2929,113.7420,99.2575,,403.6111,207.8653,147.8161,80.1364,144.5425,111.3529,13.9269,47.1545,57.1159,18.3500,187.4901,341.4292,180.9127,35.5900,108.2038,49.6500,92.7585,206.8342,38.7693,54.8117,313.4799,,34.0757,260.4800,53.0575,63.8262,74.3564,,238.1147,12.4400,13393.1201,64.2434,44.7153,126.0031,342.7771,,14.2072,49.0846,,44.2016,73.7324,23.5481,56.1367,,10.6555,52.9336,125.5231,30.9730,121.5153,95.7618,99.4842,20.0800,77.0480,220.2078,72.3628,,244.9802,316.7387,15.2435,76.7881,,99.5363,25.2557,68.5470,113.4000,53.8349,75.4959,29.4373,54.5820,14.9400,30.9784,93.6310,363.7220,,231.8963,389.0786,,1202.5763,58.9768,84.4586,68.7880,,180.8789,105.4540,67.5639,116.0962,452.8951,136.0690,196.5800,,103.5112,16.0250,376.1458,203.6105,41.1000,174.7007,85.6000,218.6114,70.3935,5202.7500,23.6873,,69.1700,356.5833,14.8303,200.9072,124.3062,44.1454,55.3617,64.7328,41.6326,,131.2985,20.4287,43.6311,61.2011,39.7857,73.2838,22.2294,34.7191,29.7294,97.0438,65.4433,62.1659,35.5706,,28.3126,113.8995,81.9678,50.9079,86.4809,,207.8500,868.8000,1.6350
2021-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46760.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46456.0586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-17,123.0819,96.9044,132.5000,106.2728,266.6182,482.7400,71.3322,97.7771,,6.9798,74.6500,217.2411,211.3115,163.5195,,20.3619,167.1373,39.8032,147.6292,227.9800,200.4331,37.8519,62.1763,77.5345,87.2952,753.7269,36.1212,53.5444,72.5275,47.0222,43537.5117,74.0120,38.8000,65.1167,223.8338,143.8180,,74.1872,26.6316,248.2400,363.7649,211.9483,188.5300,,45.3120,71.6464,89.9822,62.2499,359.1540,217.3537,314.7354,,124.8953,,85.1873,65.4656,86.8982,66.4999,648.6682,,,136.1411,3.9300,27.2151,119.8004,9.0065,25.0031,,1867.5000,,64.0231,52.1082,174.7000,45.1500,115.1253,113.5079,23.1109,,327.4587,283.1968,7.8296,193.4685,66.1713,114.0801,99.1619,,405.7005,208.1474,147.9637,80.0480,145.1242,110.8964,14.2606,47.0770,57.6419,18.8500,186.8403,341.7263,176.5652,35.0800,108.0799,49.7100,92.6387,206.7984,39.3832,54.8996,313.0037,,34.0283,262.0500,54.3292,65.1143,74.9863,,235.2648,12.0900,13312.9102,63.1715,44.5017,126.4480,343.9394,,14.1299,49.1297,,44.7442,73.9100,24.7583,55.9667,,10.6950,52.7388,125.1634,31.0427,121.2688,95.2789,99.0851,20.4600,76.9298,222.7283,73.1879,,243.0605,314.8172,15.5952,77.4051,,99.3394,25.3003,68.3131,110.2000,54.0043,75.4959,30.5498,54.0203,15.4800,30.1732,93.6770,359.6834,,233.8157,388.0886,,1223.7448,58.7334,89.8553,70.1445,,179.9024,105.6604,67.1721,115.8506,446.8278,134.7999,192.2767,,101.0629,16.4675,375.0718,200.8403,39.5400,174.6280,81.6000,218.1297,70.3595,5202.7500,23.9328,,69.5192,355.7266,14.4138,200.4784,124.4126,44.1710,55.2765,64.6444,42.4659,,130.9007,20.9418,43.4341,60.4160,40.1342,72.7039,22.7448,34.7833,29.6319,96.7473,64.9621,62.0782,35.5875,,28.0807,113.6873,81.8190,52.0975,87.4714,,202.9200,816.0000,1.6400
2021-05-18,121.6978,97.1697,135.0200,106.4913,262.9115,480.6200,71.5826,97.6572,,7.0290,74.4400,215.9327,211.7068,161.6140,,20.3550,167.7527,39.2423,145.8692,227.5500,202.9688,37.3382,60.8082,77.5345,86.8425,745.4572,36.0560,53.6590,72.4508,47.0222,42909.4023,74.2734,38.6400,64.4439,218.9693,144.4264,,73.7965,26.4902,239.0000,362.6755,211.2288,196.7800,,45.4700,75.0779,87.2779,61.8411,346.1757,216.5047,312.4092,,126.3194,,85.2205,65.2850,86.8903,64.8355,651.5555,,,133.2785,3.9900,27.5531,119.5042,8.9991,24.7607,,1867.8000,,63.1467,52.2244,175.0400,45.1675,114.2337,112.1962,23.0934,,323.2995,280.3118,8.0123,189.9232,66.0117,113.1367,99.1619,,403.7756,206.5674,148.0158,79.8713,143.0796,110.3238,14.1923,46.8185,58.5436,19.4100,185.9803,338.3188,175.3101,35.5600,107.7249,51.5100,92.6729,207.0216,38.3457,54.6448,307.5465,,33.8792,261.7500,53.7854,64.7149,74.0329,,233.2498,12.0500,13217.6797,63.5142,44.4589,125.6601,340.0191,,13.9805,49.1898,,43.6408,73.5454,24.2705,56.6817,,10.6161,52.5864,124.5983,30.9962,120.0273,94.7603,99.7706,21.2400,77.0401,221.9150,71.5872,,241.9166,312.6920,15.4809,76.3411,,99.4199,25.2719,66.3479,112.6000,54.5125,75.5046,29.6705,53.7856,16.8000,29.3873,93.9299,355.0500,,239.5738,384.7450,,1247.9373,58.6522,87.2173,71.0159,,177.4016,105.5036,66.3605,115.5542,448.4951,129.8002,192.6233,,102.0202,16.1050,376.6781,198.7673,39.3600,172.7710,79.2000,217.2917,70.3595,5218.5000,23.6336,,67.7817,352.6538,14.6220,198.9124,123.2242,44.8102,55.6088,64.6533,41.5439,,129.9387,20.7839,44.3786,60.4246,39.6907,71.9624,22.2170,34.2975,29.3863,95.3388,64.4423,61.8854,35.6553,,28.0764,113.7242,81.1805,50.6231,86.5734,,203.1600,817.6000,1.6420
2021-05-19,121.5418,96.0423,138.1900,105.9451,261.0164,480.4700,71.7245,97.5203,,6.9657,76.2300,214.0132,211.4405,161.5900,,20.2231,165.7885,39.9642,145.6245,224.4200,201.8482,37.1699,57.6981,77.5260,89.1352,744.0197,34.9068,53.6181,72.3739,46.9724,37002.4414,73.8265,38.7200,64.3093,216.5918,143.6994,,73.8853,26.1438,224.8000,359.6912,218.1374,198.7100,,45.6300,75.5863,84.8284,61.6969,335.6225,215.9850,310.8798,,126.4036,,84.1146,65.4866,86.4839,62.9366,651.5828,,,131.8288,3.7800,27.4867,119.2410,8.9769,24.4997,,1881.3000,,63.7310,51.9505,175.1600,42.2075,114.4955,112.6440,23.0670,,317.8189,278.2765,8.1658,189.0689,65.8368,112.5707,98.8662,,407.4222,204.9780,147.6945,79.6430,141.9867,110.0250,14.0103,46.6720,58.6688,19.5500,187.7767,336.8510,173.4637,35.9800,107.5350,52.2100,92.5788,205.4328,38.6742,54.7854,311.1483,,33.5064,258.5000,53.0900,64.6985,73.2498,,233.8268,11.7200,13237.9102,63.8392,44.2282,123.2499,342.1222,,14.0304,49.3250,,43.0257,73.5922,23.5199,55.9300,,10.3795,52.4764,124.5298,30.8260,120.2738,90.3075,100.0916,20.6700,75.9519,222.6961,70.7374,,243.3291,313.0510,15.0237,76.1891,,98.1668,25.1059,66.6380,119.8000,54.6141,75.4783,28.7105,53.6347,17.4300,31.0948,93.7000,355.5776,,241.6677,383.7362,,1243.9049,58.0544,85.8293,70.7374,,188.2126,104.7854,62.8532,115.2747,450.8036,129.1752,187.8200,,103.4560,15.1150,375.8704,198.6421,38.9500,173.0617,78.4000,216.3476,70.3170,5197.5000,23.5415,,65.8226,351.7226,14.9661,198.3345,122.5058,44.6908,55.2168,64.3792,40.9322,,128.7177,20.5471,44.3817,60.2198,39.0843,72.0765,21.6643,34.0867,29.3337,94.8014,64.6685,61.6837,35.5197,,28.0291,113.5305,80.4988,49.4084,84.5461,,200.1100,848.0000,1.6830
2021-05-20,124.0957,97.0868,136.2000,107.2378,263.7847,491.6700,72.0083,97.8542,,7.0361,78.0600,216.8538,215.5483,162.3840,,20.9956,168.4945,41.1658,146.3775,227.6500,206.0743,37.0814,58.7925,77.5260,90.5504,749.6629,35.9989,54.8041,72.6129,47.0554,40782.7383,75.1671,38.5200,64.0906,214.8728,146.5442,,74.6667,26.8356,233.4000,363.4050,220.5421,204.0300,,48.3420,75.4676,85.1243,61.9053,332.6260,220.8273,312.7847,,127.4485,,85.0376,65.8561,87.0858,62.9210,663.2054,,,132.6321,3.7500,27.6074,120.1542,9.2586,24.5417,,1881.8000,,63.5849,52.1995,175.9600,42.6225,116.8452,114.4020,23.1285,,319.0605,279.5596,7.6834,189.7609,66.1181,113.1131,99.2749,,421.0320,206.3417,148.5542,79.9597,141.7399,110.1080,14.1848,47.0856,59.7625,20.2700,190.6625,339.2800,175.9104,35.8100,108.2698,51.9600,92.6729,207.2448,38.4062,55.4621,316.1292,,33.9063,256.2400,53.1970,64.9431,73.6073,,237.0584,11.3700,13494.0898,65.2714,44.0914,123.5373,343.0999,,14.5758,50.2640,,43.1252,73.5735,23.4074,57.0983,,10.2514,52.9844,126.0711,31.0504,121.5065,91.2374,101.8357,20.6100,76.8272,224.9107,70.2175,,250.2023,319.1065,15.1468,76.6658,,99.7243,25.1099,66.1982,124.6000,54.0382,75.5134,28.5042,53.7017,18.4000,33.6076,93.9299,359.2805,,233.9902,387.8645,,1171.3271,57.9647,83.4672,69.3539,,190.6017,104.9093,62.8438,116.2233,459.0314,130.9155,195.5933,,104.2660,14.4725,375.0811,198.3294,39.7100,172.7307,83.6000,218.1297,70.4361,5197.5000,23.9405,,65.5756,355.4752,14.9208,200.4877,123.1089,44.8528,55.8133,64.9274,40.5421,,129.9017,20.7918,44.5380,61.0816,39.1069,73.3123,21.6310,34.1050,29.6969,95.0145,65.9054,62.2536,35.9606,,28.2740,114.7207,81.3245,49.2912,84.1851,,204.9100,841.6000,1.6340
2021-05-21,122.2631,96.2661,134.7100,106.6279,263.2552,488.0700,72.3339,97.8970,,7.0220,77.1700,216.0619,214.8005,160.1540,,20.7581,168.9413,40.8256,147.6386,234.8200,200.4426,37.5507,58.5463,77.5345,90.0529,763.7621,34.7357,54.8450,72.6300,47.1052,37304.6914,76.5078,38.6000,65.3102,216.9302,146.6232,,74.7910,26.6000,224.3500,360.6955,219.3594,210.6000,,49.2840,76.0946,85.5846,62.6987,336.8678,218.7917,313.9072,,127.1536,,85.5282,66.3096,86.9138,62.5693,660.5638,,,132.4474,3.7500,27.6678,119.9814,9.8812,24.6675,,1876.7000,,64.4126,52.3903,176.0400,44.1975,116.3002,113.7662,23.1461,,324.8071,279.4445,7.5737,190.6750,66.2169,113.7892,99.3097,,419.2523,206.8778,148.4587,80.0849,143.3527,109.8342,14.1999,47.0598,58.5603,20.4900,190.9969,338.3188,175.0555,36.0500,108.3441,52.3200,92.7414,206.4057,38.9595,55.6818,313.7677,,33.8860,256.5000,53.1257,64.5518,75.1991,,235.7984,11.1800,13411.7402,65.4031,44.2965,122.9719,341.7163,,14.9541,50.0161,,43.3604,73.8632,23.5669,60.4083,,10.1331,53.3569,125.9598,30.9188,121.5065,88.6444,101.9833,20.7500,76.8272,222.8491,70.2926,,249.3568,317.3404,14.8919,77.1875,,99.2856,25.1666,67.5364,117.8000,54.1059,75.4959,28.6657,53.9700,18.7800,33.1226,93.7843,362.1296,,234.1646,387.5469,,1190.4797,58.4900,80.9671,67.1975,,193.4376,105.0991,62.5360,116.5959,456.1212,130.8097,193.6267,,102.9498,15.3050,377.8255,197.9452,40.4800,171.8789,82.8000,218.4477,70.4361,5176.5000,23.7794,,65.7545,355.2051,15.1019,200.3759,123.5523,44.3755,55.6599,64.7859,40.6751,,130.4012,20.8313,44.3285,61.4742,39.1929,73.0651,21.6767,34.4441,29.6042,95.4778,65.5444,62.2623,35.9013,,28.4200,114.7391,80.9164,49.3582,84.2684,,200.0100,859.2000,1.6320
2021-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37536.6328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34770.5820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-24,123.8910,96.0920,135.9100,106.7735,264.6208,497.8300,72.2671,97.9912,,6.8672,77.4400,213.2558,217.2327,162.2495,,21.0287,171.4618,41.5448,149.3045,237.4400,199.8538,37.7544,58.0446,77.5260,92.2165,774.0459,36.0560,55.0413,72.7153,47.1301,38705.9805,76.9125,38.8000,65.6298,218.5852,147.1684,,74.9420,26.8472,225.3000,363.2818,223.7056,214.3500,,50.7600,76.0099,86.8011,61.7850,336.5027,219.9524,315.6692,,127.4232,,85.0709,65.8225,87.0076,62.6240,658.8150,,,132.6413,3.7200,27.7825,120.8700,9.6811,24.8493,,1884.6000,,64.1692,52.3239,176.3500,45.0025,119.3536,117.0843,23.1637,,326.6074,278.6215,8.3998,192.2127,66.2929,113.7735,99.4053,,426.0038,208.2226,149.0266,80.2248,144.1283,109.6433,14.2834,47.2148,58.0760,20.8100,192.0863,338.7470,173.4092,36.7000,108.6414,53.3100,92.7927,207.0038,38.9509,55.9630,322.1023,,34.1028,254.0000,54.1420,64.4295,76.3483,,241.1940,11.2300,13641.7500,65.0429,44.8350,124.2697,343.3029,,15.5727,51.1880,,44.5272,74.1903,23.8671,60.7533,,10.4288,53.7294,126.6020,30.8105,121.4713,87.1423,102.5213,21.2200,77.4108,224.2342,71.3100,,255.8024,322.6777,14.8567,77.7902,,100.7178,25.2274,67.9481,111.0000,53.5300,75.5134,28.4414,54.0035,19.7800,35.4413,95.5162,363.6165,,227.1851,391.4976,,1129.9980,58.8273,84.6138,68.2244,,193.7127,105.3550,61.9017,117.0279,456.2396,132.4250,202.1467,,104.5881,16.1525,377.2014,199.7681,40.8700,173.1444,76.8000,220.9041,70.4616,5192.2500,24.0863,,66.6999,358.7901,15.0838,202.3985,124.0578,44.7931,56.0604,66.0059,40.9943,,130.5307,20.9260,44.3317,61.1584,39.5414,74.3960,21.8928,34.6091,29.9759,96.0708,66.7091,62.4464,36.2913,,28.3685,114.8498,81.7182,49.9362,84.6109,,210.9500,843.2000,1.6080
2021-05-25,123.6960,94.9728,133.9900,107.7840,265.6799,505.0800,71.7329,98.2309,,6.8250,77.8600,208.3063,217.7397,162.9525,,21.1437,172.3047,41.5765,148.7115,240.7400,200.5091,37.2053,57.5248,77.5260,91.8446,775.7408,36.1864,54.6078,72.9030,47.2547,38402.2227,76.7354,38.8400,64.9990,216.8662,148.7173,,75.1106,26.9226,242.4100,365.1103,224.4152,212.8600,,51.9600,75.1541,85.3791,60.9195,337.7480,221.0179,314.9532,,128.4512,,84.2393,65.3438,87.4297,61.4831,669.7088,,,131.8749,3.6000,27.1065,121.5775,9.4958,24.5277,,1898.1000,,63.8770,52.1580,177.9500,52.3575,119.4726,117.1750,23.2252,,323.2552,280.3118,8.0854,191.3926,66.3005,113.0424,99.7705,,424.6303,206.2100,148.6160,80.1953,142.6389,109.6267,14.0634,47.2062,58.9861,19.9900,190.3663,337.1218,175.5557,37.0700,109.0459,52.7600,92.9125,207.2091,38.3457,55.9894,325.2377,,33.6217,253.0000,53.5001,63.1822,75.6418,,242.0981,10.7000,13657.7305,64.4630,43.7154,124.5106,341.2828,,15.6084,51.7138,,43.7945,73.6763,23.0978,60.8467,,9.9163,52.6542,126.9873,30.4390,121.8851,86.9814,102.5473,21.4800,76.9061,224.4919,69.4086,,257.2745,323.1241,14.7776,77.5923,,100.8163,25.3003,67.0310,111.6000,53.6316,75.5134,28.0287,53.7185,20.1800,35.8391,95.3323,363.9145,,228.7555,390.6289,,1124.9578,57.8409,80.6051,70.4853,,193.6181,105.6522,62.7505,118.1119,457.7785,131.4924,201.5633,,105.1864,16.0950,379.1288,198.3205,40.2900,171.5706,75.6000,220.6151,70.5041,5208.0000,24.0556,,65.8652,358.0359,14.6492,201.8392,123.2862,45.2619,56.2138,66.1562,40.8613,,130.1422,20.4761,44.5130,60.7915,39.2065,74.3770,21.4482,34.2608,29.9549,95.7836,66.7283,62.4640,36.3930,,28.0248,114.5085,81.9774,48.8053,84.2684,,216.2000,828.8000,1.5640
